# t,q1,q2,q3,q4,q5,q6,q7
1.788378980658029795e+09,2.553378939628601074e-01,3.722392916679382324e-01,1.730976998805999756e-01,4.291412234306335449e-01,-2.814437448978424072e-01,3.678161501884460449e-01,9.130666851997375488e-01
1.788378980707795858e+09,2.485385090112686157e-01,3.709808588027954102e-01,1.628184765577316284e-01,4.329860508441925049e-01,-2.917088568210601807e-01,3.631187975406646729e-01,9.244102835655212402e-01
1.788378980756527185e+09,2.438224554061889648e-01,3.691370785236358643e-01,1.530547589063644409e-01,4.369205236434936523e-01,-3.012063801288604736e-01,3.587540984153747559e-01,9.352095127105712891e-01
1.788378980806297302e+09,2.411897331476211548e-01,3.667367994785308838e-01,1.438950151205062866e-01,4.408796727657318115e-01,-3.098596036434173584e-01,3.547542691230773926e-01,9.453715085983276367e-01
1.788378980856220722e+09,2.406403422355651855e-01,3.638546466827392578e-01,1.354517638683319092e-01,4.448793828487396240e-01,-3.175706863403320312e-01,3.511614799499511719e-01,9.549070000648498535e-01
1.788378980906676292e+09,2.421742826700210571e-01,3.606148660182952881e-01,1.278498023748397827e-01,4.490084052085876465e-01,-3.242372870445251465e-01,3.480150699615478516e-01,9.639067649841308594e-01
1.788378980956537485e+09,2.457915544509887695e-01,3.571238517761230469e-01,1.213345527648925781e-01,4.532606005668640137e-01,-3.296557068824768066e-01,3.452759385108947754e-01,9.724104404449462891e-01
1.788378981006993294e+09,2.514921724796295166e-01,3.533776104450225830e-01,1.161327064037322998e-01,4.574472606182098389e-01,-3.336324989795684814e-01,3.428797721862792969e-01,9.802666902542114258e-01
1.788378981057147980e+09,2.592761218547821045e-01,3.494020104408264160e-01,1.125182881951332092e-01,4.613186419010162354e-01,-3.359274566173553467e-01,3.408280014991760254e-01,9.872501492500305176e-01
1.788378981106899738e+09,2.691434025764465332e-01,3.452863991260528564e-01,1.106403768062591553e-01,4.647648930549621582e-01,-3.364259600639343262e-01,3.391596376895904541e-01,9.931917786598205566e-01
1.788378981156959057e+09,2.810940146446228027e-01,3.410094380378723145e-01,1.108016669750213623e-01,4.673021733760833740e-01,-3.348705172538757324e-01,3.379029035568237305e-01,9.975498914718627930e-01
1.788378981207061291e+09,2.946391701698303223e-01,3.365236818790435791e-01,1.135590597987174988e-01,4.679754972457885742e-01,-3.307864069938659668e-01,3.368934392929077148e-01,9.997451305389404297e-01
1.788378981257626772e+09,3.082617521286010742e-01,3.320203721523284912e-01,1.190942302346229553e-01,4.661167860031127930e-01,-3.241639435291290283e-01,3.357408046722412109e-01,9.996091723442077637e-01
1.788378981309829473e+09,3.213195800781250000e-01,3.276925981044769287e-01,1.270049363374710083e-01,4.618829190731048584e-01,-3.155623078346252441e-01,3.339916765689849854e-01,9.970901012420654297e-01
1.788378981357709169e+09,3.344408571720123291e-01,3.235856890678405762e-01,1.363878995180130005e-01,4.559748172760009766e-01,-3.059394657611846924e-01,3.312486410140991211e-01,9.921917915344238281e-01
