t_recv,t_send,step_idx,arm_target_0,arm_target_1,arm_target_2,arm_target_3,arm_target_4,arm_target_5,arm_target_6,grip_cmd
1788154342.527529,1788154342.527336,186,-0.224662,-0.155445,0.043577,1.030812,-0.417136,0.370775,-0.355337,0.025138
1788154342.639399,1788154342.639176,187,-0.222203,-0.157075,0.041826,1.033720,-0.415620,0.373423,-0.350699,0.025060
1788154342.729308,1788154342.728874,188,-0.215338,-0.160659,0.044856,1.037641,-0.413603,0.368063,-0.348081,0.024988
1788154342.837317,1788154342.837082,189,-0.207987,-0.163623,0.050367,1.040346,-0.412721,0.359502,-0.346791,0.025055
1788154342.941519,1788154342.941305,190,-0.203106,-0.165419,0.057150,1.043230,-0.415850,0.348862,-0.345793,0.025188
1788154343.035398,1788154343.035160,191,-0.201554,-0.164448,0.060926,1.048369,-0.419783,0.343756,-0.347296,0.025130
1788154343.135900,1788154343.135497,192,-0.203561,-0.162260,0.060073,1.052469,-0.419565,0.345436,-0.349986,0.025203
1788154343.251312,1788154343.251089,193,-0.209536,-0.160249,0.056415,1.051397,-0.416772,0.351432,-0.350066,0.025204
1788154343.367294,1788154343.365890,194,-0.215196,-0.159398,0.051354,1.047496,-0.413941,0.358204,-0.349550,0.025230
1788154343.477190,1788154343.475342,195,-0.215751,-0.160088,0.047430,1.045708,-0.411511,0.363635,-0.349261,0.025138
1788154343.586465,1788154343.586219,196,-0.212515,-0.161535,0.048093,1.045788,-0.410791,0.363873,-0.347856,0.025173
1788154343.685678,1788154343.685473,197,-0.210286,-0.162980,0.052705,1.042589,-0.409557,0.358512,-0.344896,0.025239
1788154343.782665,1788154343.782461,198,-0.211672,-0.161930,0.057861,1.037018,-0.412218,0.353647,-0.342154,0.025068
1788154343.884311,1788154343.884089,199,-0.214847,-0.158327,0.059841,1.032935,-0.415830,0.354293,-0.343226,0.025130
1788154343.978202,1788154343.977990,200,-0.217214,-0.154866,0.058245,1.032256,-0.418321,0.358517,-0.349062,0.025029
1788154344.078263,1788154344.078064,201,-0.221316,-0.153880,0.053879,1.030967,-0.417890,0.363177,-0.352612,0.024893
1788154344.180670,1788154344.180478,202,-0.223229,-0.154399,0.047760,1.030135,-0.414799,0.369687,-0.356370,0.025188
1788154344.269603,1788154344.269389,203,-0.223148,-0.155174,0.043964,1.028507,-0.412778,0.374058,-0.357861,0.025153
1788154344.373220,1788154344.372860,204,-0.223554,-0.157689,0.045452,1.023964,-0.411465,0.370358,-0.353818,0.025101
1788154344.477056,1788154344.476020,205,-0.220619,-0.160023,0.050371,1.021240,-0.411171,0.362519,-0.352341,0.025072
1788154344.594054,1788154344.593842,206,-0.215857,-0.161278,0.056553,1.022371,-0.414079,0.352807,-0.353550,0.025102
1788154344.698123,1788154344.697924,207,-0.214617,-0.159910,0.059746,1.025691,-0.418434,0.348394,-0.355437,0.025050
1788154344.789191,1788154344.788983,208,-0.216984,-0.157418,0.058414,1.029137,-0.418937,0.351362,-0.356471,0.025292
1788154344.892799,1788154344.892514,209,-0.222537,-0.154926,0.053078,1.030487,-0.419104,0.358699,-0.354569,0.026011
1788154344.998139,1788154344.997864,210,-0.226554,-0.153705,0.046151,1.032100,-0.417968,0.368284,-0.352099,0.026457
1788154345.108048,1788154345.107441,211,-0.230460,-0.154274,0.041230,1.031022,-0.415600,0.376456,-0.343787,0.026380
1788154345.214721,1788154345.214505,212,-0.229254,-0.157079,0.042003,1.029884,-0.413275,0.377005,-0.339564,0.026540
1788154345.305339,1788154345.305107,213,-0.225221,-0.157192,0.045133,1.028383,-0.412707,0.375407,-0.341361,0.026416
1788154345.407192,1788154345.406981,214,-0.223425,-0.155238,0.049434,1.025729,-0.415143,0.372217,-0.343655,0.026424
1788154345.511480,1788154345.511246,215,-0.226823,-0.153167,0.052557,1.021196,-0.419671,0.367729,-0.345523,0.026406
1788154345.620241,1788154345.619994,216,-0.231517,-0.150257,0.051671,1.016403,-0.421602,0.367218,-0.352061,0.026392
1788154345.737399,1788154345.735899,217,-0.240468,-0.148351,0.048690,1.007064,-0.422955,0.368044,-0.356043,0.026410
1788154345.849697,1788154345.849447,218,-0.248718,-0.148168,0.045072,0.995043,-0.419850,0.369636,-0.360280,0.026395
1788154345.962506,1788154345.962289,219,-0.251859,-0.149434,0.043939,0.985507,-0.419166,0.367676,-0.365826,0.026421
